game_id,date,home_team_name,away_team_name,home_team_ranked,away_team_ranked,home_score,away_score,location_type,status,schedule_url,boxscore_url,dedupe_key
sidearm-2025-01-01-Louisville-Unknown-Opponent,2025-01-01,Louisville,Unknown Opponent,,,,,unknown,scheduled,,,2025-01-01-Louisville-Unknown-Opponent
sidearm-2025-01-01-Louisville-#24/RV-University-of-Virginia,2025-01-01,Louisville,#24/RV University of Virginia,,,0,1,unknown,final,,https://gocards.com/sports/mens-soccer/stats/2025/university-of-virginia/boxscore/25681,2025-01-01-#24/RV-University-of-Virginia-Louisville
sidearm-2025-01-01-Louisville-University-of-Notre-Dame,2025-01-01,Louisville,University of Notre Dame,,,0,3,unknown,final,,https://gocards.com/sports/mens-soccer/stats/2025/university-of-notre-dame/boxscore/25682,2025-01-01-Louisville-University-of-Notre-Dame
sidearm-2025-01-01-Louisville-University-of-Kentucky,2025-01-01,Louisville,University of Kentucky,,,2,2,unknown,final,,https://gocards.com/sports/mens-soccer/stats/2025/university-of-kentucky/boxscore/25683,2025-01-01-Louisville-University-of-Kentucky
sidearm-2025-01-01-Louisville-Duke-University,2025-01-01,Louisville,Duke University,,,0,1,unknown,final,,https://gocards.com/sports/mens-soccer/stats/2025/duke-university/boxscore/25684,2025-01-01-Duke-University-Louisville
sidearm-2025-01-01-Louisville-University-of-North-Carolina,2025-01-01,Louisville,University of North Carolina,,,0,1,unknown,final,,https://gocards.com/sports/mens-soccer/stats/2025/university-of-north-carolina/boxscore/25685,2025-01-01-Louisville-University-of-North-Carolina
sidearm-2025-01-01-Louisville-Belmont-University,2025-01-01,Louisville,Belmont University,,,0,0,unknown,final,,https://gocards.com/sports/mens-soccer/stats/2025/belmont-university/boxscore/25686,2025-01-01-Belmont-University-Louisville
sidearm-2025-01-01-Louisville-Virginia-Tech,2025-01-01,Louisville,Virginia Tech,,,0,2,unknown,final,,,2025-01-01-Louisville-Virginia-Tech
sidearm-2025-01-01-Louisville-Wake-Forest-University,2025-01-01,Louisville,Wake Forest University,,,1,1,unknown,final,,https://gocards.com/sports/mens-soccer/stats/2025/wake-forest-university/boxscore/25688,2025-01-01-Louisville-Wake-Forest-University
sidearm-2025-01-01-Louisville-Lipscomb-University,2025-01-01,Louisville,Lipscomb University,,,1,1,unknown,final,,https://gocards.com/sports/mens-soccer/stats/2025/lipscomb-university/boxscore/25689,2025-01-01-Lipscomb-University-Louisville
sidearm-2025-01-01-Louisville-University-of-Evansville,2025-01-01,Louisville,University of Evansville,,,1,3,unknown,final,,https://gocards.com/sports/mens-soccer/stats/2025/university-of-evansville/boxscore/25690,2025-01-01-Louisville-University-of-Evansville
sidearm-2025-01-01-Louisville-University-of-Pittsburgh,2025-01-01,Louisville,University of Pittsburgh,,,0,0,unknown,final,,https://gocards.com/sports/mens-soccer/stats/2025/university-of-pittsburgh/boxscore/25691,2025-01-01-Louisville-University-of-Pittsburgh
sidearm-2025-01-01-Louisville-(3)-NC-State-University,2025-01-01,Louisville,(3) NC State University,,,0,3,unknown,final,,,2025-01-01-(3)-NC-State-University-Louisville
sidearm-2025-01-01-NC-State-Queens,2025-01-01,NC State,Queens,,,2,0,unknown,final,,,2025-01-01-NC-State-Queens
sidearm-2025-01-01-NC-State-Wofford,2025-01-01,NC State,Wofford,,,6,0,unknown,final,,,2025-01-01-NC-State-Wofford
sidearm-2025-01-01-NC-State-FIU,2025-01-01,NC State,FIU,,,2,0,unknown,final,,,2025-01-01-FIU-NC-State
sidearm-2025-01-01-North-Carolina-NC-State,2025-01-01,North Carolina,NC State,,,0,0,unknown,final,,,2025-01-01-NC-State-North-Carolina
sidearm-2025-01-01-NC-State-Stetson,2025-01-01,NC State,Stetson,,,4,0,unknown,final,,,2025-01-01-NC-State-Stetson
sidearm-2025-01-01-NC-State-FAU,2025-01-01,NC State,FAU,,,2,0,unknown,final,,,2025-01-01-FAU-NC-State
sidearm-2025-01-01-NC-State-William-&-Mary,2025-01-01,NC State,William & Mary,,,7,0,unknown,final,,,2025-01-01-NC-State-William-&-Mary
sidearm-2025-01-01-NC-State-Unknown-Opponent,2025-01-01,NC State,Unknown Opponent,,,,,unknown,scheduled,,,2025-01-01-NC-State-Unknown-Opponent
sidearm-2025-01-01-Pittsburgh-NC-State,2025-01-01,Pittsburgh,NC State,,,1,1,unknown,final,,,2025-01-01-NC-State-Pittsburgh
sidearm-2025-01-01-NC-State-UNCW,2025-01-01,NC State,UNCW,,,3,0,unknown,final,,,2025-01-01-NC-State-UNCW
